season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,Jonathan Kuminga,,,,11.0,,,,324.0,,,,,,,,,,,,0.568,23.0,,,basketball-reference
2025-26,Regular Season,,Jake LaRavia,,,,11.0,,,,322.0,,,,,,,,,,,,0.621,15.6,,,basketball-reference
2025-26,Regular Season,,CJ McCollum,,,,11.0,,,,322.0,,,,,,,,,,,,0.534,24.4,,,basketball-reference
2025-26,Regular Season,,Kon Knueppel,,,,10.0,,,,322.0,,,,,,,,,,,,0.613,20.4,,,basketball-reference
2025-26,Regular Season,,Kevin Durant,,,,9.0,,,,322.0,,,,,,,,,,,,0.626,26.4,,,basketball-reference
2025-26,Regular Season,,Brandin Podziemski,,,,11.0,,,,321.0,,,,,,,,,,,,0.56,18.0,,,basketball-reference
2025-26,Regular Season,,Alex Sarr,,,,11.0,,,,321.0,,,,,,,,,,,,0.578,26.3,,,basketball-reference
2025-26,Regular Season,,Myles Turner,,,,11.0,,,,320.0,,,,,,,,,,,,0.544,18.0,,,basketball-reference
2025-26,Regular Season,,Amen Thompson,,,,9.0,,,,320.0,,,,,,,,,,,,0.537,22.1,,,basketball-reference
2025-26,Regular Season,,Jalen Duren,,,,11.0,,,,319.0,,,,,,,,,,,,0.705,22.7,,,basketball-reference
2025-26,Regular Season,,Wendell Carter Jr.,,,,11.0,,,,318.0,,,,,,,,,,,,0.647,17.1,,,basketball-reference
2025-26,Regular Season,,Pascal Siakam,,,,9.0,,,,318.0,,,,,,,,,,,,0.507,30.4,,,basketball-reference
2025-26,Regular Season,,Onyeka Okongwu,,,,11.0,,,,317.0,,,,,,,,,,,,0.552,18.7,,,basketball-reference
2025-26,Regular Season,,Zach LaVine,,,,9.0,,,,317.0,,,,,,,,,,,,0.678,24.5,,,basketball-reference
2025-26,Regular Season,,Jaren Jackson Jr.,,,,11.0,,,,316.0,,,,,,,,,,,,0.624,22.2,,,basketball-reference
2025-26,Regular Season,,Dennis Schröder,,,,10.0,,,,316.0,,,,,,,,,,,,0.478,20.6,,,basketball-reference
2025-26,Regular Season,,Immanuel Quickley,,,,10.0,,,,315.0,,,,,,,,,,,,0.541,20.0,,,basketball-reference
2025-26,Regular Season,,James Harden,,,,9.0,,,,314.0,,,,,,,,,,,,0.643,28.6,,,basketball-reference
