away_team,away_team_id,away_team_norm,b2b_away,b2b_home,book,date,event_id,home_team,home_team_id,home_team_norm,implied_away,implied_home,league,moneyline_away,moneyline_home,rest_days_away,rest_days_home,status,streak_away,streak_home
Milwaukee Bucks,15,milwaukee bucks,False,False,draftkings,2025-11-13T00:00Z,401810068,Charlotte Hornets,30,charlotte hornets,0.6855345911949685,0.35714285714285715,nba,-218,180,-1,-1,Scheduled,0,0
Chicago Bulls,4,chicago bulls,False,False,draftkings,2025-11-13T00:00Z,401810069,Detroit Pistons,8,detroit pistons,0.4672897196261682,0.574468085106383,nba,114,-135,-1,-1,Scheduled,0,0
Orlando Magic,19,orlando magic,False,False,draftkings,2025-11-13T00:00Z,401810070,New York Knicks,18,knicks,0.423728813559322,0.6183206106870229,nba,136,-162,-1,-1,Scheduled,0,0
Memphis Grizzlies,29,memphis grizzlies,False,False,draftkings,2025-11-13T00:30Z,401810071,Boston Celtics,2,boston celtics,0.3225806451612903,0.7206703910614525,nba,210,-258,-1,-1,Scheduled,0,0
Cleveland Cavaliers,5,cleveland cavaliers,False,False,draftkings,2025-11-13T00:30Z,401810072,Miami Heat,14,miami heat,0.3508771929824561,0.6923076923076923,nba,185,-225,-1,-1,Scheduled,0,0
Washington Wizards,27,washington wizards,False,False,draftkings,2025-11-13T01:00Z,401810073,Houston Rockets,10,houston rockets,0.1,0.9411764705882353,nba,900,-1600,-1,-1,Scheduled,0,0
Portland Trail Blazers,22,portland trail blazers,False,False,draftkings,2025-11-13T01:00Z,401810074,New Orleans Pelicans,3,orleans pelicans,0.7727272727272727,0.2702702702702703,nba,-340,270,-1,-1,Scheduled,0,0
Golden State Warriors,9,golden state warriors,False,False,draftkings,2025-11-13T01:00Z,401810075,San Antonio Spurs,24,antonio spurs,0.3787878787878788,0.6644295302013423,nba,164,-198,-1,-1,Scheduled,0,0
Phoenix Suns,21,phoenix suns,False,False,draftkings,2025-11-13T01:30Z,401810076,Dallas Mavericks,6,dallas mavericks,0.5121951219512195,0.5348837209302325,nba,-105,-115,-1,-1,Scheduled,0,0
Los Angeles Lakers,13,lakers,False,False,draftkings,2025-11-13T02:30Z,401810077,Oklahoma City Thunder,25,oklahoma thunder,0.3125,0.7297297297297297,nba,220,-270,-1,-1,Scheduled,0,0
Atlanta Hawks,1,atlanta hawks,False,False,draftkings,2025-11-13T03:00Z,401810078,Sacramento Kings,23,sacramento kings,0.6183206106870229,0.423728813559322,nba,-162,136,-1,-1,Scheduled,0,0
Denver Nuggets,7,denver nuggets,False,False,draftkings,2025-11-13T03:30Z,401810079,LA Clippers,12,clippers,0.574468085106383,0.4672897196261682,nba,-135,114,-1,-1,Scheduled,0,0
New York Rangers,13,rangers,False,False,draftkings,2025-11-13T00:00Z,401802616,Tampa Bay Lightning,20,tampa bay lightning,0.43478260869565216,0.6078431372549019,nhl,130,-155,-1,-1,Scheduled,0,0
Edmonton Oilers,6,edmonton oilers,False,False,draftkings,2025-11-13T00:30Z,401802617,Philadelphia Flyers,15,philadelphia flyers,0.574468085106383,0.4672897196261682,nhl,-135,114,-1,-1,Scheduled,0,0
Buffalo Sabres,2,buffalo sabres,False,False,draftkings,2025-11-13T02:00Z,401802618,Utah Mammoth,129764,utah mammoth,0.3937007874015748,0.6491228070175439,nhl,154,-185,-1,-1,Scheduled,0,0
New Jersey Devils,11,jersey devils,False,False,draftkings,2025-11-13T02:30Z,401802619,Chicago Blackhawks,4,chicago blackhawks,0.6078431372549019,0.43478260869565216,nhl,-155,130,-1,-1,Scheduled,0,0
